team,season,week,total_yards,def_yards_allowed,turnovers,possession_time,pass_yards,rush_yards,third_down_pct,redzone_pct,point_diff,ypp,result,is_champion
49ers,2002,17,329,263,2,2137,136,193,0.42857142857142855,0.0,-11,5.222222222222222,0,0
49ers,2002,16,358,184,2,2059,252,106,0.55,0.0,3,4.904109589041096,1,0
49ers,2002,15,263,302,1,1437,156,107,0.46153846153846156,0.0,-6,4.614035087719298,0,0
49ers,2002,14,401,257,1,2159,276,125,0.5,0.0,4,4.7176470588235295,1,0
49ers,2002,13,299,507,2,1945,157,142,0.5625,0.0,7,4.397058823529412,1,0
49ers,2002,12,409,343,0,1942,305,104,0.45,0.0,-21,4.811764705882353,0,0
49ers,2002,11,467,441,1,2141,331,136,0.4444444444444444,0.0,-3,6.226666666666667,0,0
49ers,2002,10,323,256,1,2314,168,155,0.6111111111111112,0.0,4,4.424657534246576,1,0
49ers,2002,9,434,239,1,2673,282,152,0.65,0.0,3,5.166666666666667,1,0
49ers,2002,8,357,420,0,1653,252,105,0.5,0.0,10,6.155172413793103,1,0
Bears,2002,17,218,272,4,1351,133,85,0.36363636363636365,0.0,-15,4.1923076923076925,0,0
Bears,2002,16,186,253,4,1390,131,55,0.26666666666666666,0.0,-10,3.3214285714285716,0,0
Bears,2002,15,266,334,0,1978,161,105,0.5454545454545454,0.0,7,4.666666666666667,1,0
Bears,2002,14,195,436,4,1458,88,107,0.16666666666666666,0.0,-18,3.3620689655172415,0,0
Bears,2002,13,304,396,4,1642,230,74,0.2727272727272727,0.0,-10,5.241379310344827,0,0
Bears,2002,12,422,301,1,2071,347,75,0.29411764705882354,0.0,3,5.341772151898734,1,0
Bears,2002,11,220,388,0,1850,117,103,0.2,0.0,-5,3.4375,0,0
Bears,2002,10,299,397,1,1740,174,125,0.3333333333333333,0.0,-3,4.983333333333333,0,0
Bears,2002,9,260,309,1,1619,186,74,0.09090909090909091,0.0,-6,4.0625,0,0
Bears,2002,8,218,364,3,1137,174,44,0.3,0.0,-18,4.448979591836735,0,0
Bengals,2002,17,317,324,3,1282,233,84,0.1111111111111111,0.0,-18,5.763636363636364,0,0
Bengals,2002,16,423,210,4,2119,183,240,0.4375,0.0,7,5.222222222222222,1,0
Bengals,2002,15,300,321,2,1799,235,65,0.4117647058823529,0.0,-14,4.3478260869565215,0,0
Bengals,2002,14,340,401,1,1868,257,83,0.4,0.0,-21,4.857142857142857,0,0
Bengals,2002,13,381,247,2,1946,303,78,0.375,0.0,-4,5.0131578947368425,0,0
Bengals,2002,12,352,391,1,1552,298,54,0.4666666666666667,0.0,-8,5.770491803278689,0,0
Bengals,2002,11,350,382,1,1418,248,102,0.4166666666666667,0.0,-7,6.60377358490566,0,0
Bengals,2002,10,372,325,4,1955,249,123,0.4375,0.0,-11,5.166666666666667,0,0
Bengals,2002,9,390,268,0,1882,263,127,0.6,0.0,35,6.290322580645161,1,0
Bengals,2002,8,384,342,1,2035,193,191,0.45454545454545453,0.0,-6,6.095238095238095,0,0
Bills,2002,17,324,317,3,2318,225,99,0.5333333333333333,0.0,18,4.563380281690141,1,0
Bills,2002,16,185,223,6,1912,142,43,0.25,0.0,-10,2.803030303030303,0,0
Bills,2002,15,256,308,1,1610,101,155,0.16666666666666666,0.0,7,4.266666666666667,1,0
Bills,2002,14,390,275,5,1838,312,78,0.7142857142857143,0.0,-10,5.492957746478873,0,0
Bills,2002,13,431,300,0,1961,270,161,0.5333333333333333,0.0,17,6.338235294117647,1,0
Bills,2002,12,258,325,3,1702,170,88,0.4,0.0,-18,4.526315789473684,0,0
Bills,2002,11,344,320,1,1901,211,133,0.5384615384615384,0.0,-1,5.375,0,0
Bills,2002,9,331,422,1,1542,266,65,0.36363636363636365,0.0,-31,5.338709677419355,0,0
Bills,2002,8,343,282,2,1893,269,74,0.42857142857142855,0.0,7,5.359375,1,0
Bills,2002,7,294,287,0,1726,162,132,0.23076923076923078,0.0,13,4.666666666666667,1,0
Broncos,2002,17,450,207,0,2007,191,259,0.45454545454545453,0.0,30,7.758620689655173,1,0
Broncos,2002,16,324,322,3,1504,243,81,0.09090909090909091,0.0,-12,4.835820895522388,0,0
Broncos,2002,15,482,494,3,1830,285,197,0.45454545454545453,0.0,7,7.650793650793651,1,0
Broncos,2002,14,369,281,1,1953,258,111,0.6,0.0,-6,5.426470588235294,0,0
Broncos,2002,13,417,434,3,1933,261,156,0.15384615384615385,0.0,-3,5.957142857142857,0,0
Broncos,2002,12,285,344,2,1313,172,113,0.5555555555555556,0.0,-3,5.9375,0,0
Broncos,2002,11,401,204,1,1889,199,202,0.2857142857142857,0.0,22,6.265625,1,0
Broncos,2002,10,342,374,1,1901,265,77,0.4166666666666667,0.0,-24,4.684931506849315,0,0
Broncos,2002,8,351,179,2,2140,215,136,0.6153846153846154,0.0,8,5.4,1,0
Broncos,2002,7,507,305,1,1879,366,141,0.3333333333333333,0.0,3,6.5,1,0
Browns,2002,17,318,331,4,1845,129,189,0.5,0.0,8,5.129032258064516,1,0
Browns,2002,16,256,275,1,1786,193,63,0.45454545454545453,0.0,1,4.338983050847458,1,0
Browns,2002,15,349,417,0,1851,253,96,0.25,0.0,-5,5.208955223880597,0,0
Browns,2002,14,417,211,2,2096,244,173,0.4666666666666667,0.0,1,5.873239436619718,1,0
Browns,2002,13,258,234,5,1657,118,140,0.3333333333333333,0.0,-7,4.448275862068965,0,0
Browns,2002,12,339,383,2,1871,176,163,0.38461538461538464,0.0,9,5.65,1,0
Browns,2002,11,382,350,1,2182,242,140,0.6111111111111112,0.0,7,5.380281690140845,1,0
Browns,2002,9,193,391,3,1070,157,36,0.2222222222222222,0.0,-3,4.595238095238095,0,0
Browns,2002,8,334,241,0,2274,279,55,0.47368421052631576,0.0,3,4.704225352112676,1,0
Browns,2002,7,230,354,0,1820,141,89,0.23076923076923078,0.0,17,4.107142857142857,1,0
Buccaneers,2002,17,272,218,0,2249,111,161,0.3888888888888889,0.0,15,4.121212121212121,1,1
Buccaneers,2002,16,277,327,3,1540,203,74,0.18181818181818182,0.0,-10,4.328125,0,1
Buccaneers,2002,15,376,292,0,2226,253,123,0.42857142857142855,0.0,3,5.449275362318841,1,1
Buccaneers,2002,14,421,181,0,2038,271,150,0.5,0.0,24,6.901639344262295,1,1
Buccaneers,2002,13,283,238,3,1960,249,34,0.14285714285714285,0.0,-3,4.421875,0,1
Buccaneers,2002,12,246,267,1,1766,153,93,0.18181818181818182,0.0,14,4.315789473684211,1,1
Buccaneers,2002,11,314,231,2,2153,247,67,0.4375,0.0,13,4.422535211267606,1,1
Buccaneers,2002,9,446,387,0,1996,313,133,0.5454545454545454,0.0,14,7.311475409836065,1,1
Buccaneers,2002,8,226,130,2,1981,155,71,0.3888888888888889,0.0,3,3.373134328358209,1,1
